,Provincia_x,Comunidad autónoma,Capital,Ciudad más poblada*,Código postal,Código Ministerio del Interior,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),Extranjeros totales,% de extranjeros,Porcentaje población,Porcentaje superficie,PIB_2016,PIB_2017,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,TCAC 2016-23,Órgano de gobierno y administración,Sede (ciudad),actividad_2016,actividad_2017,actividad_2018,actividad_2019,actividad_2020,actividad_2021,actividad_2022,actividad_2023,empleo_2016,empleo_2017,empleo_2018,empleo_2019,empleo_2020,empleo_2021,empleo_2022,empleo_2023,paro_2016,paro_2017,paro_2018,paro_2019,paro_2020,paro_2021,paro_2022,paro_2023,Provincias,Renta_neta_media_hogar_2016,Renta_neta_media_hogar_2017,Renta_neta_media_hogar_2018,Renta_neta_media_hogar_2019,Renta_neta_media_hogar_2020,Renta_neta_media_hogar_2021,Renta_neta_media_hogar_2022,Renta_neta_media_hogar_2023,Renta_neta_media_persona_2016,Renta_neta_media_persona_2017,Renta_neta_media_persona_2018,Renta_neta_media_persona_2019,Renta_neta_media_persona_2020,Renta_neta_media_persona_2021,Renta_neta_media_persona_2022,Renta_neta_media_persona_2023,Residentes_España_2016,Residentes_España_2017,Residentes_España_2018,Residentes_España_2019,Residentes_España_2020,Residentes_España_2021,Residentes_España_2022,Residentes_España_2023,Residentes_Extranjero_2016,Residentes_Extranjero_2017,Residentes_Extranjero_2018,Residentes_Extranjero_2019,Residentes_Extranjero_2020,Residentes_Extranjero_2021,Residentes_Extranjero_2022,Residentes_Extranjero_2023,Provincia_y,Provincia,Num_empresas_2016,Num_empresas_2017,Num_empresas_2018,Num_empresas_2019,Num_empresas_2020,Num_empresas_2021,Num_empresas_2022,Num_empresas_2023,Tasa_actividad_media_2016_2023,Tasa_empleo_media_2016_2023,Tasa_paro_media_2016_2023,Renta_neta_media_persona_2016_2023,Renta_neta_media_hogar_2016_2023,Num_empresas_media_2016_2023,Residentes_España_media_2016_2023,Residentes_Extranjero_media_2016_2023
10,Castellón,Comunidad Valenciana,Castellón de la Plana,Castellón de la Plana,12,CS,6632.0,627620,94.21,214539390.0,107330,14.7,1.28,1.32,14223009,15506038,15685255,16135189,14341241,15775645,17355828,17661943,24.18,Diputación de Castellón,,57.33,57.91,57.74,59.38,58.0,56.29,55.88,55.08,47.52,49.59,49.02,50.89,49.81,49.98,47.96,46.82,17.11,14.37,15.11,14.29,14.12,11.2,14.16,15.0,Castellón/Castelló,26457.0,27398.0,28557.0,29847.0,29875.0,31163.0,32694.0,34497.0,10504.0,10958.0,11461.0,11987.0,12079.0,1268.0,13305.0,14029.0,46451.0,56188.0,45541.0,45741.0,30077.0,42461.0,43647.0,42040.0,1246.0,1810.0,1029.0,1663.0,332.0,580.0,1653.0,1413.0,Castellón,,,,,,,,,,57.20125,48.948750000000004,14.42,10698.875,30061.0,,44018.25,1215.75
11,Ceuta,Ceuta,-,-,51,CE,19.0,83567,4178.35,,5085,3.4,0.17,0.004,1537398,1553567,1611648,1659979,1535718,1634006,1766735,1862863,21.17,,,55.29,56.95,55.4,58.82,56.05,55.87,62.18,59.89,42.91,42.12,42.09,42.59,41.07,38.46,41.45,40.33,22.39,26.03,24.02,27.58,26.74,31.17,33.34,32.66,Ceuta,35381.0,35274.0,3709.0,38628.0,3933.0,4066.0,42318.0,44907.0,10696.0,10767.0,11448.0,12038.0,12358.0,1303.0,13673.0,14625.0,,,,,,,,,,,,,,,,,,Ceuta,3762.0,3844.0,3916.0,3789.0,3845.0,3749.0,3744.0,3369.0,57.55625,41.3775,27.99125,10863.5,26027.0,3752.25,,
12,Ciudad Real,Castilla-La Mancha,Ciudad Real,Ciudad Real,13,CR,19813.0,494848,24.98,77173538.0,36574,8.5,1.01,3.92,10345475,10690171,10906668,11016000,10182564,10481171,12249078,12447343,20.32,Diputación de Ciudad Real,Palacio de la Diputación Provincial de Ciudad Real (Ciudad Real),55.95,56.16,54.98,56.39,54.46,55.81,55.85,54.81,41.91,43.08,45.73,45.49,44.94,46.74,43.82,46.16,25.09,23.3,16.82,19.34,17.49,16.24,21.54,15.78,Ciudad Real,23845.0,24608.0,25698.0,26691.0,26842.0,27895.0,2929.0,31095.0,9056.0,9482.0,10001.0,10431.0,1057.0,11051.0,11724.0,12529.0,26883.0,31922.0,29286.0,38232.0,20487.0,32872.0,44863.0,43372.0,640.0,505.0,1020.0,1419.0,318.0,494.0,1346.0,935.0,Ciudad Real,Ciudad Real,30315.0,30404.0,30588.0,30790.0,30419.0,30036.0,30574.0,28597.0,55.55125,44.73375,19.45,9416.375,23700.375,30215.375,33489.625,834.625
13,Cuenca,Castilla-La Mancha,Cuenca,Cuenca,16,CU,17140.0,199859,11.66,100110251.0,27228,6.9,0.41,3.39,4290139,4421111,4599762,4587758,4253677,4975017,5645595,5859753,36.59,Diputación de Cuenca,,56.28,55.81,57.33,56.1,54.85,55.7,54.33,56.36,48.32,46.22,49.48,47.9,47.87,50.45,49.97,49.99,14.15,17.18,13.69,14.61,12.73,9.42,8.03,11.3,Cuenca,23314.0,23986.0,25019.0,2614.0,26719.0,27927.0,29064.0,30641.0,9224.0,9722.0,10212.0,1068.0,10991.0,1155.0,12022.0,12725.0,64447.0,56069.0,61096.0,53405.0,19052.0,41230.0,61443.0,75104.0,3772.0,8767.0,7774.0,8092.0,313.0,885.0,3162.0,4196.0,Cuenca,Cuenca,13623.0,13625.0,13655.0,13704.0,13604.0,13394.0,13563.0,12837.0,55.845,48.775000000000006,12.63875,8389.875,23660.5,13500.625,53980.75,4620.125
14,Cáceres,Extremadura,Cáceres,Cáceres,10,CC,19868.0,388190,19.54,170809446.0,16608,4.9,0.79,3.93,7292966,7749707,8103645,8327152,7518119,8822093,9842522,10265612,40.76,Diputación de Cáceres,,52.55,52.96,53.42,54.81,53.54,53.81,52.4,53.22,40.93,41.44,42.04,43.04,43.63,44.32,44.41,45.88,22.12,21.75,21.3,21.48,18.52,17.63,15.25,13.79,Cáceres,21765.0,22359.0,23205.0,24262.0,24373.0,25497.0,26529.0,28614.0,9247.0,9544.0,10009.0,10537.0,1066.0,11238.0,11786.0,12771.0,130980.0,148866.0,157351.0,167743.0,74142.0,134259.0,167431.0,146411.0,10817.0,12198.0,15235.0,16834.0,8577.0,15082.0,16050.0,20753.0,Cáceres,Cáceres,24990.0,25071.0,25389.0,25738.0,25675.0,25264.0,25409.0,23820.0,53.338750000000005,43.21124999999999,18.98,9524.75,24575.5,25169.5,140897.875,14443.25
15,Cádiz,Andalucía,Cádiz,Jerez de la Frontera,11,CA,7436.0,1261420,169.55,190171566.0,62166,12.7,2.57,1.47,20879560,21860392,22462629,23352580,20477353,22876782,25860425,26783989,28.28,Diputación de Cádiz,Palacio de la Aduana (Cádiz),56.45,54.92,54.3,54.14,55.17,55.13,53.7,53.72,37.34,38.44,39.45,40.77,41.42,40.84,40.28,42.57,33.86,30.01,27.35,24.7,24.91,25.92,25.0,20.74,Cádiz,24044.0,24777.0,25905.0,27243.0,27179.0,28501.0,30055.0,32323.0,8696.0,9028.0,9509.0,10055.0,10113.0,10712.0,11396.0,12335.0,17614.0,20409.0,21539.0,19418.0,14912.0,20479.0,23447.0,19032.0,8082.0,12877.0,8920.0,10488.0,1169.0,4010.0,8849.0,7543.0,Cádiz,Cádiz,58658.0,60169.0,60690.0,61786.0,63374.0,63833.0,65560.0,62867.0,54.69125,40.13875,26.56125,10230.5,27503.375,62117.125,19606.25,7742.25
16,Córdoba,Andalucía,Córdoba,Córdoba,14,CO,13771.0,773163,56.14,552000000.0,26537,6.9,1.57,2.72,13567313,14113022,14292383,14237228,13134510,14512133,15518254,17217243,26.9,Diputación de Córdoba,Palacio de la Merced (Córdoba),57.77,56.8,55.79,56.78,57.91,57.0,54.56,55.93,40.78,41.46,43.26,43.32,44.16,47.04,44.8,47.26,29.42,27.0,22.47,23.7,23.75,17.46,17.88,15.5,Córdoba,23541.0,24379.0,25246.0,26299.0,26462.0,27909.0,29082.0,30917.0,8892.0,929.0,971.0,10182.0,10314.0,10979.0,11569.0,12386.0,23004.0,28133.0,37672.0,34128.0,23053.0,31040.0,29719.0,32049.0,5886.0,8253.0,10979.0,13982.0,2117.0,5108.0,4701.0,6399.0,Córdoba,Córdoba,46290.0,47101.0,47209.0,47874.0,48326.0,48126.0,48946.0,46390.0,56.567499999999995,44.01,22.1475,8277.75,26729.375,47532.75,29849.75,7178.125
17,Gipuzkoa,País Vasco,San Sebastián,San Sebastián,20,SS,1909.0,733149,370.28,461900000.0,70347,12.7,1.49,0.39,21467926,22934894,23594075,24464797,21891774,24644193,26370267,28427601,32.42,Diputación Foral de Guipúzcoa,,55.38,56.05,55.73,56.15,57.04,56.21,55.09,55.78,49.87,51.32,51.52,51.92,53.03,52.04,49.93,52.21,9.95,8.43,7.56,7.53,7.02,7.42,9.38,6.41,Gipuzkoa,35751.0,36586.0,37797.0,39283.0,39023.0,39988.0,43392.0,46514.0,1509.0,15372.0,15891.0,16463.0,16399.0,16887.0,18325.0,19616.0,71151.0,64400.0,65367.0,61669.0,31836.0,55517.0,68021.0,64889.0,14648.0,17060.0,20395.0,21463.0,4137.0,7683.0,22190.0,25671.0,Gipuzkoa,Gipuzkoa,52016.0,48284.0,49582.0,48779.0,48807.0,47581.0,48717.0,46450.0,55.928749999999994,51.48,7.9625,15057.75,39791.75,48777.0,60356.25,16655.875
18,Girona,Cataluña,Gerona,Gerona,17,GE / GI,5910.0,830429,140.51,132255950.0,178578,17.5,1.69,1.17,20769493,20612222,21178933,22059649,19755932,23348038,26290879,29157484,40.39,Diputación de Gerona,,61.84,61.93,62.19,62.63,60.86,62.41,61.94,59.37,52.25,53.5,55.47,56.7,52.75,55.42,56.38,53.85,15.51,13.61,10.8,9.47,13.33,11.2,8.98,9.29,Girona,30536.0,31537.0,32943.0,34301.0,34212.0,35585.0,37444.0,40105.0,11409.0,11841.0,12355.0,12843.0,12865.0,13485.0,14176.0,1513.0,130338.0,150198.0,179701.0,171699.0,108461.0,159380.0,160620.0,170500.0,20758.0,31238.0,29645.0,32740.0,9566.0,11303.0,35246.0,41350.0,Girona,Girona,60529.0,62036.0,62984.0,63357.0,64413.0,64258.0,65628.0,62848.0,61.64625,54.540000000000006,11.52375,11310.875,34582.875,63256.625,153862.125,26480.75
19,Granada,Andalucía,Granada,Granada,18,GR,12531.0,945797,74.78,307100186.0,79669,13.6,1.93,2.5,15888251,16314359,16798633,17538085,15967883,17357256,19181269,20836996,31.15,Diputación de Granada,,58.35,57.45,55.98,55.54,55.52,57.36,56.77,58.2,41.49,42.59,43.42,44.61,41.73,45.56,45.61,45.63,28.89,25.87,22.44,19.68,24.84,20.58,19.66,21.6,Granada,23542.0,24216.0,2519.0,26342.0,26373.0,27748.0,29113.0,31314.0,909.0,944.0,9885.0,1038.0,10463.0,111.0,11754.0,12709.0,15959.0,18553.0,20283.0,23822.0,13966.0,20668.0,25217.0,26415.0,10031.0,11031.0,12278.0,11342.0,1570.0,5392.0,12247.0,11819.0,Granada,Granada,56884.0,58436.0,59115.0,60020.0,61384.0,61148.0,62568.0,59279.0,56.896249999999995,43.83,22.945,5976.625,23895.875,59854.25,20610.375,9463.75
