Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2017;9.044
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2016;8.747
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2023;29.119
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2022;27.429
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2021;26.808
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2020;25.141
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2019;24.865
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2018;24.160
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2017;23.408
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2016;22.752
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2023;12.950
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2022;11.744
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2021;10.929
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2020;10.261
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2019;10.338
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2018;9.832
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2017;9.313
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2016;8.854
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2023;33.868
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2022;30.644
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2021;28.574
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2020;27.084
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2019;27.439
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2018;26.076
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2017;24.743
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2016;23.736
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2023;12.964
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2022;12.013
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2021;11.292
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2020;10.717
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2019;10.604
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2018;10.083
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2017;9.584
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2016;9.272
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2023;34.269
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2022;31.899
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2021;30.254
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2020;28.912
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2019;28.874
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2018;27.535
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2017;26.334
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2016;25.670
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2023;15.140
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2022;14.252
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2021;13.679
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2020;13.158
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2019;12.949
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2018;12.513
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2017;11.954
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2016;11.478
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2023;37.009
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2022;34.901
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2021;33.603
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2020;32.521
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2019;32.176
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2018;31.084
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2017;29.793
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2016;28.955
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2023;14.573
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2022;13.736
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2021;13.134
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2020;12.656
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2019;12.461
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2018;11.991
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2017;11.432
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2016;11.126
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2023;34.725
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2022;32.889
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2021;31.658
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2020;30.672
