Provincias;Condición jurídica;Periodo;Total
17 Girona;Total;2021;64.258
17 Girona;Total;2020;64.413
17 Girona;Total;2019;63.357
17 Girona;Total;2018;62.984
17 Girona;Total;2017;62.036
17 Girona;Total;2016;60.529
18 Granada;Total;2023;59.279
18 Granada;Total;2022;62.568
18 Granada;Total;2021;61.148
18 Granada;Total;2020;61.384
18 Granada;Total;2019;60.020
18 Granada;Total;2018;59.115
18 Granada;Total;2017;58.436
18 Granada;Total;2016;56.884
19 Guadalajara;Total;2023;13.284
19 Guadalajara;Total;2022;13.785
19 Guadalajara;Total;2021;13.498
19 Guadalajara;Total;2020;13.602
19 Guadalajara;Total;2019;13.376
19 Guadalajara;Total;2018;13.368
19 Guadalajara;Total;2017;13.274
19 Guadalajara;Total;2016;13.359
21 Huelva;Total;2023;25.345
21 Huelva;Total;2022;26.357
21 Huelva;Total;2021;25.739
21 Huelva;Total;2020;25.755
21 Huelva;Total;2019;25.236
21 Huelva;Total;2018;24.668
21 Huelva;Total;2017;24.424
21 Huelva;Total;2016;23.953
22 Huesca;Total;2023;15.646
22 Huesca;Total;2022;16.388
22 Huesca;Total;2021;16.152
22 Huesca;Total;2020;16.541
22 Huesca;Total;2019;16.459
22 Huesca;Total;2018;16.503
22 Huesca;Total;2017;16.464
22 Huesca;Total;2016;16.396
23 Jaén;Total;2023;33.777
23 Jaén;Total;2022;35.363
23 Jaén;Total;2021;34.754
23 Jaén;Total;2020;34.791
23 Jaén;Total;2019;34.191
23 Jaén;Total;2018;34.030
23 Jaén;Total;2017;33.842
23 Jaén;Total;2016;33.250
24 León;Total;2023;27.952
24 León;Total;2022;30.067
24 León;Total;2021;30.006
24 León;Total;2020;30.838
24 León;Total;2019;31.151
24 León;Total;2018;31.276
24 León;Total;2017;31.173
24 León;Total;2016;31.427
25 Lleida;Total;2023;31.595
25 Lleida;Total;2022;33.407
25 Lleida;Total;2021;33.060
25 Lleida;Total;2020;33.512
25 Lleida;Total;2019;33.299
25 Lleida;Total;2018;33.684
25 Lleida;Total;2017;33.623
25 Lleida;Total;2016;33.329
27 Lugo;Total;2023;22.600
27 Lugo;Total;2022;24.109
27 Lugo;Total;2021;24.059
27 Lugo;Total;2020;24.432
27 Lugo;Total;2019;24.792
27 Lugo;Total;2018;24.760
27 Lugo;Total;2017;24.549
27 Lugo;Total;2016;24.353
28 Madrid;Total;2023;503.018
28 Madrid;Total;2022;558.607
28 Madrid;Total;2021;547.040
28 Madrid;Total;2020;552.027
28 Madrid;Total;2019;540.544
28 Madrid;Total;2018;538.917
28 Madrid;Total;2017;526.156
28 Madrid;Total;2016;516.412
29 Málaga;Total;2023;132.168
29 Málaga;Total;2022;136.170
29 Málaga;Total;2021;130.632
29 Málaga;Total;2020;131.395
29 Málaga;Total;2019;126.509
29 Málaga;Total;2018;123.109
29 Málaga;Total;2017;119.512
29 Málaga;Total;2016;115.447
30 Murcia;Total;2023;91.290
30 Murcia;Total;2022;97.014
30 Murcia;Total;2021;95.294
30 Murcia;Total;2020;96.764
30 Murcia;Total;2019;95.456
30 Murcia;Total;2018;95.544
30 Murcia;Total;2017;93.574
30 Murcia;Total;2016;92.008
31 Navarra;Total;2023;41.152
31 Navarra;Total;2022;45.738
31 Navarra;Total;2021;44.334
31 Navarra;Total;2020;44.430
31 Navarra;Total;2019;44.224
31 Navarra;Total;2018;44.289
31 Navarra;Total;2017;44.120
31 Navarra;Total;2016;43.907
32 Ourense;Total;2023;20.839
32 Ourense;Total;2022;22.373
32 Ourense;Total;2021;22.322
32 Ourense;Total;2020;22.682
32 Ourense;Total;2019;23.166
32 Ourense;Total;2018;23.291
32 Ourense;Total;2017;23.140
32 Ourense;Total;2016;23.061
34 Palencia;Total;2023;8.956
34 Palencia;Total;2022;9.613
34 Palencia;Total;2021;9.639
34 Palencia;Total;2020;9.813
34 Palencia;Total;2019;9.860
34 Palencia;Total;2018;10.024
34 Palencia;Total;2017;10.021
34 Palencia;Total;2016;10.131
35 Palmas, Las;Total;2023;70.871
35 Palmas, Las;Total;2022;77.896
35 Palmas, Las;Total;2021;76.204
35 Palmas, Las;Total;2020;78.786
35 Palmas, Las;Total;2019;78.310
35 Palmas, Las;Total;2018;75.753
35 Palmas, Las;Total;2017;73.570
35 Palmas, Las;Total;2016;70.613
36 Pontevedra;Total;2023;65.088
36 Pontevedra;Total;2022;68.887
36 Pontevedra;Total;2021;68.043
36 Pontevedra;Total;2020;69.100
36 Pontevedra;Total;2019;69.698
36 Pontevedra;Total;2018;69.437
36 Pontevedra;Total;2017;68.831
36 Pontevedra;Total;2016;67.968
26 Rioja, La;Total;2023;21.178
26 Rioja, La;Total;2022;22.532
26 Rioja, La;Total;2021;22.357
26 Rioja, La;Total;2020;22.700
26 Rioja, La;Total;2019;22.669
26 Rioja, La;Total;2018;23.197
26 Rioja, La;Total;2017;23.167
26 Rioja, La;Total;2016;23.076
37 Salamanca;Total;2023;20.635
37 Salamanca;Total;2022;21.952
37 Salamanca;Total;2021;21.915
37 Salamanca;Total;2020;22.380
37 Salamanca;Total;2019;22.451
37 Salamanca;Total;2018;22.373
37 Salamanca;Total;2017;22.347
37 Salamanca;Total;2016;22.259
38 Santa Cruz de Tenerife;Total;2023;68.374
38 Santa Cruz de Tenerife;Total;2022;73.950
38 Santa Cruz de Tenerife;Total;2021;71.795
38 Santa Cruz de Tenerife;Total;2020;73.970
38 Santa Cruz de Tenerife;Total;2019;73.351
38 Santa Cruz de Tenerife;Total;2018;70.373
38 Santa Cruz de Tenerife;Total;2017;68.025
38 Santa Cruz de Tenerife;Total;2016;65.296
40 Segovia;Total;2023;10.416
40 Segovia;Total;2022;10.850
40 Segovia;Total;2021;10.756
40 Segovia;Total;2020;10.825
40 Segovia;Total;2019;10.818
40 Segovia;Total;2018;10.793
40 Segovia;Total;2017;10.738
40 Segovia;Total;2016;10.806
41 Sevilla;Total;2023;118.320
41 Sevilla;Total;2022;125.257
41 Sevilla;Total;2021;122.491
41 Sevilla;Total;2020;121.928
41 Sevilla;Total;2019;119.510
41 Sevilla;Total;2018;117.385
41 Sevilla;Total;2017;115.932
41 Sevilla;Total;2016;113.653
42 Soria;Total;2023;5.473
42 Soria;Total;2022;5.690
42 Soria;Total;2021;5.670
42 Soria;Total;2020;5.688
42 Soria;Total;2019;5.631
42 Soria;Total;2018;5.689
42 Soria;Total;2017;5.741
42 Soria;Total;2016;5.790
43 Tarragona;Total;2023;52.172
43 Tarragona;Total;2022;54.887
43 Tarragona;Total;2021;53.764
43 Tarragona;Total;2020;54.217
43 Tarragona;Total;2019;53.308
43 Tarragona;Total;2018;52.921
43 Tarragona;Total;2017;52.544
43 Tarragona;Total;2016;51.887
44 Teruel;Total;2023;8.612
44 Teruel;Total;2022;9.138
44 Teruel;Total;2021;9.039
44 Teruel;Total;2020;9.281
44 Teruel;Total;2019;9.319
44 Teruel;Total;2018;9.345
44 Teruel;Total;2017;9.295
44 Teruel;Total;2016;9.274
45 Toledo;Total;2023;43.290
45 Toledo;Total;2022;45.231
45 Toledo;Total;2021;44.524
45 Toledo;Total;2020;44.738
45 Toledo;Total;2019;43.961
45 Toledo;Total;2018;43.289
45 Toledo;Total;2017;42.878
45 Toledo;Total;2016;42.240
46 Valencia/València;Total;2023;177.339
46 Valencia/València;Total;2022;186.362
46 Valencia/València;Total;2021;182.851
46 Valencia/València;Total;2020;184.418
46 Valencia/València;Total;2019;180.753
46 Valencia/València;Total;2018;177.717
46 Valencia/València;Total;2017;174.999
46 Valencia/València;Total;2016;172.204
47 Valladolid;Total;2023;31.035
47 Valladolid;Total;2022;32.948
47 Valladolid;Total;2021;32.732
47 Valladolid;Total;2020;33.456
47 Valladolid;Total;2019;33.934
47 Valladolid;Total;2018;33.998
47 Valladolid;Total;2017;33.967
47 Valladolid;Total;2016;33.587
49 Zamora;Total;2023;10.413
49 Zamora;Total;2022;11.120
49 Zamora;Total;2021;11.130
49 Zamora;Total;2020;11.408
49 Zamora;Total;2019;11.548
49 Zamora;Total;2018;11.632
49 Zamora;Total;2017;11.643
49 Zamora;Total;2016;11.701
50 Zaragoza;Total;2023;59.695
50 Zaragoza;Total;2022;63.850
50 Zaragoza;Total;2021;63.411
50 Zaragoza;Total;2020;64.860
50 Zaragoza;Total;2019;65.336
50 Zaragoza;Total;2018;65.645
50 Zaragoza;Total;2017;65.144
50 Zaragoza;Total;2016;64.655
51 Ceuta;Total;2023;3.369
51 Ceuta;Total;2022;3.744
51 Ceuta;Total;2021;3.749
51 Ceuta;Total;2020;3.845
51 Ceuta;Total;2019;3.789
51 Ceuta;Total;2018;3.916
51 Ceuta;Total;2017;3.844
51 Ceuta;Total;2016;3.762
52 Melilla;Total;2023;4.370
52 Melilla;Total;2022;4.856
52 Melilla;Total;2021;5.024
52 Melilla;Total;2020;5.234
52 Melilla;Total;2019;5.304
52 Melilla;Total;2018;4.667
52 Melilla;Total;2017;4.524
52 Melilla;Total;2016;4.349
