Provincia,Comunidad autónoma,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),PIB_2023,% de extranjeros,Renta_neta_media_persona_2023,Renta_neta_media_hogar_2023,Num_empresas_2023,actividad_media_2016_2023,empleo_media_2016_2023,paro_media_2016_2023,Renta_neta_media_persona_2016_2023,Renta_neta_media_hogar_2016_2023,Num_empresas_media_2016_2023,Residentes_España_media_2016_2023,Residentes_Extranjero_media_2016_2023,PIB_alto
Melilla,Melilla,13.0,87067,7255.58,220000000.0,1753666,4.8,13995,45989,4370,59.95250000000001,44.349999999999994,26.09,11773.0,40070.0,4791.0,47563.8125,5701.4375,0
Murcia,Región de Murcia,11313.0,1586989,140.27,451252695.0,39838741,18.2,12446,34951,91290,59.387499999999996,50.427499999999995,15.09375,10581.75,30184.25,94618.0,39035.375,3606.25,1
Málaga,Andalucía,7308.0,1791183,245.17,976600000.0,41235144,20.0,12950,33868,132168,57.10625,46.042500000000004,19.391250000000003,10527.625,27770.5,126867.75,62013.125,63015.25,1
Navarra,Navarra,10391.0,683854,65.81,259000000.0,24975376,13.6,16423,42714,41152,58.7825,52.927499999999995,9.9575,15607.333333333334,40580.333333333336,44024.25,114291.125,15034.375,0
Ourense,Galicia,7273.0,305278,41.97,103126070.0,8914517,5.4,14049,31170,20839,48.01,41.972500000000004,12.5775,11937.125,27030.5,22609.25,27397.0,3499.875,0
Palencia,Castilla y León,8052.0,158702,19.71,92868777.0,5047540,3.8,15147,34037,8956,53.987500000000004,48.12125,10.885,13185.75,30246.5,9757.125,33778.75,4312.5,0
Pontevedra,Galicia,4495.0,947818,210.86,120591629.0,25662611,10.9,14137,35506,65088,53.542500000000004,46.00625,14.081249999999999,11954.75,30709.625,68381.5,34621.125,8760.75,0
Salamanca,Castilla y León,12350.0,328446,26.59,181471677.0,9604292,5.4,14583,32411,20635,52.95,46.14249999999999,12.87,12459.25,28349.875,22039.0,71591.125,5714.625,0
Santa Cruz de Tenerife,Canarias,3381.0,1087319,321.6,313500000.0,25865458,15.8,13366,35654,68374,59.64375,47.50749999999999,20.323749999999997,10932.375,29498.375,70641.75,23382.0,31506.375,0
Segovia,Castilla y León,6921.0,158251,22.87,220000000.0,4408019,5.9,14949,35688,10416,58.72375,52.955,9.785,12719.75,30855.25,10750.25,102529.875,4052.25,0
Sevilla,Andalucía,14036.0,1977664,140.9,1158000000.0,48846749,14.4,12964,34269,118320,58.427499999999995,46.3425,20.671249999999997,10816.125,29218.375,119309.5,21855.25,4467.0,1
Soria,Castilla y León,10306.0,90183,8.75,79900000.0,2825443,4.3,15626,35904,5473,58.33625,53.822500000000005,7.735,13652.375,31786.75,5671.5,66517.0,1640.0,0
Tarragona,Cataluña,6303.0,875530,138.91,187000000.0,29471710,15.4,14559,37029,52172,58.448750000000004,49.942499999999995,14.53125,12609.625,32363.875,53212.5,36464.5,5733.0,0
Teruel,Aragón,14810.0,136091,9.19,59549000.0,4324273,5.0,14573,34725,8612,56.4125,50.98375000000001,9.6375,12638.625,30652.875,9162.875,51109.375,2270.75,0
Toledo,Castilla-La Mancha,15370.0,755081,49.13,114000000.0,17074065,13.7,12422,32711,43290,60.44250000000001,49.91875,17.387500000000003,10566.5,28037.875,43768.875,60989.875,2474.625,0
Valencia,Comunidad Valenciana,10763.0,2763996,256.5,1042800000.0,75521155,20.8,14435,36532,177339,59.417500000000004,50.94,14.25125,12325.0,31335.25,179580.375,54294.625,5296.0,1
Valladolid,Castilla y León,8110.0,528644,65.18,404000000.0,16425196,8.4,15590,36785,31035,56.1225,50.16875,10.577499999999999,13552.5,32600.5,33207.125,37521.375,3865.125,0
Zamora,Castilla y León,10561.0,165564,15.68,68716344.0,4359052,3.5,13897,29891,10413,51.24625,44.00125,14.10875,11732.875,25918.125,11324.375,54026.25,3427.125,0
Zaragoza,Aragón,17274.0,998443,57.8,895291170.0,34285966,15.1,15650,38230,59695,59.37125,52.87,10.947500000000002,13662.875,33770.125,64074.5,33453.25,3296.625,1
Ávila,Castilla y León,8050.0,160738,19.97,61700000.0,3726678,4.9,13602,30159,9670,54.022499999999994,46.106249999999996,14.622499999999999,11543.25,26008.75,10074.625,112127.375,3198.25,0
